"CODIGO CAPITULO","CAPITULO","CODIGO SUBCAPITULO","SUBCAPITULO","CODIGO ITEM","ITEM","UNIDAD","Vr MANO DE OBRA","TOTAL"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.01","ABERTURA VANO PUERTA-VENTANA","M2","$7.229,86","$7.482,91"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.02","ACARREO MATERIALES PETREOS-TIERRA-VARIOS (DISTANCIA DE 1 A 5 KM)","M3","$0,00","$1.722,5"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.03","CERRAMIENTO ALAMBRE DE PUAS No. 12  5 HILOS POSTES DE MADERA. DISTANCIA ENTRE POSTES 2 M","ML","$10.844,80","$32.774,69"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.04","CERRAMIENTO EN TABLA BURRA H=3.00  mts.","ML","$9.822,09","$53.090,74"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.05","CONFIGURACIÓN-NIVELACIÓN TERRENO","M2","$180,75","$1.115,35"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.06","CONFORMACIÓN COMPACTACIÓN SUBRASANTE CBR=95%","M2","$3.410,39","$6.405,63"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.07","CORTE ARBOL (INCL.RAICES) H>3.0","UND","$12.277,60","$90.816,22"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.08","CORTE DE ARBUSTO","UND","$4.970,53","$5.219,06"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.09","CORTE RAIZ D = 30 cm - 80 cm","ML","$16.267,19","$17.080,55"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.10","DEMOLICIÓN  CONCRETO CICLOPEO (INCLUYE RETIRO)","M3","$25.304,52","$172.783,75"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.11","DEMOLICIÓN  SARDINEL  (INCLUYE RETIRO)","ML","$4.518,66","$4.676,81"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.12","DEMOLICIÓN ALFAJIA CONCRETO  (INCLUYE RETIRO)","ML","$3.163,07","$3.321,22"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.13","DEMOLICIÓN ANDEN/CONTRAPISO CONCRETO E > A 12CM","M2","$3.437,73","$16.281,5"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.14","DEMOLICIÓN ANDEN/CONTRAPISO CONCRETO E= 7.6CM A 12CM","M2","$2.209,97","$11.093,31"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.15","DEMOLICIÓN CAJA INSPECCION","UND","$11.748,53","$12.335,96"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.16","DEMOLICIÓN CIELO FALSO ESTERILLA-ADOBE","M2","$10.558,74","$14.380,28"
"1","EDIFICACIONES","1.01","PRELIMINARES","1.01.17","DEMOLICIÓN CIELO FALSO ESTRUCTURA ALUMINIO (INCLUYE RETIRO)","M2","$1.355,60","$2.679,63"
